learning_rate,batch_size,dropout,num_epochs,f1,roc_auc,accuracy,epochs_trained,time_sec
0.0005,64,0.5,10,0.5864870931537598,0.9142857142857143,0.6266666666666667,6,65.1
0.0001,128,0.4,15,0.5668406262545163,0.6301785714285715,0.58,7,82.7
5e-05,128,0.3,15,0.5621937232822438,0.7001785714285714,0.5933333333333334,7,74.5
0.0005,128,0.5,10,0.5489071680376028,0.8175,0.58,6,64.2
0.0001,128,0.4,20,0.5384511784511784,0.5696428571428572,0.5733333333333334,6,73.2
0.001,64,0.4,25,0.5352517985611511,0.8450000000000001,0.58,6,68.7
0.001,128,0.4,10,0.5316807822075329,0.6960714285714286,0.5866666666666667,6,67.7
0.001,128,0.3,15,0.529335332333833,0.6828571428571428,0.5466666666666666,7,78.2
0.0005,128,0.5,25,0.5268560084151889,0.7153571428571429,0.58,10,108.9
0.0001,64,0.2,25,0.524455086879106,0.7823214285714286,0.5466666666666666,6,74.9
5e-05,128,0.5,10,0.516513466389044,0.6078571428571429,0.5666666666666667,7,76.4
0.0001,128,0.5,20,0.5136873500615963,0.5066071428571428,0.5466666666666666,6,73.4
0.001,128,0.4,25,0.5133186705767351,0.6860714285714286,0.5333333333333333,8,87.6
0.0001,128,0.4,25,0.5088598268557746,0.6528571428571429,0.5466666666666666,9,109.2
0.001,64,0.2,25,0.5005561735261401,0.7680357142857142,0.5733333333333334,7,81.5
5e-05,128,0.5,15,0.4938741623673131,0.5449999999999999,0.5533333333333333,8,88.6
0.0005,128,0.5,15,0.49089147286821705,0.74875,0.5133333333333333,8,89.3
0.001,128,0.3,25,0.48488964346349744,0.5492857142857144,0.5266666666666666,7,76.5
5e-05,128,0.5,25,0.4825127334465195,0.6851785714285715,0.52,6,68.8
5e-05,128,0.4,20,0.48181818181818187,0.5408928571428572,0.5133333333333333,10,105.1
0.0001,128,0.4,10,0.477592131769167,0.81375,0.5533333333333333,9,105.4
0.0001,128,0.3,25,0.45779047100956527,0.6523214285714286,0.48,8,95.3
0.001,128,0.3,10,0.4415374099584626,0.7969642857142857,0.54,10,109.2
0.0001,128,0.3,20,0.3616541237668714,0.47875000000000006,0.46,7,82.5
